company,report_year,kpi,value,unit,reporting_year,source_snippet,source_page,confidence,extractor,flags,run_tag
bp,2025,scope_1_emissions,33700000.0,tCO2e,2025,table@page 5: Scope 1 (direct) greenhouse gas | 33.7,5,0.3751540422439575,baseline,[],v_docling_baseline_only
bp,2025,total_energy_consumption,134448000.0,MWh,2025,"table@page 6: Energy consumption l z | 134,448",6,0.36854202747344966,baseline,[],v_docling_baseline_only
bp,2025,water_consumption,47300000.0,m3,2025,table@page 9: Freshwater consumption | 47.3,9,0.18321497440338133,baseline,[],v_docling_baseline_only
enel,2025,scope_1_emissions,18950000.0,tCO2e,2025,table@page 147: Total gross Scope 1 GHG emissions (1) | 18.95,147,0.28463423252105713,baseline,[],v_docling_baseline_only
enel,2025,total_energy_consumption,168590000.0,MWh,2025,table@page 150: Total energy consumption (primary and final) | 168.59,150,0.9466886520385742,baseline,[],v_docling_baseline_only
enel,2025,water_consumption,32141000.0,m3,2025,"line@page 286: | Total water consumption                                           | .000m 3 |     32,141 |     30,881 | 1,260     | 4.1%     |",286,1.3,baseline,['out_of_range'],v_docling_baseline_only
eni,2025,scope_1_emissions,28400000.0,tCO2e,2025,table@page 166: Direct GHG emissions (Scope 1) | 28.4,166,0.18610463142395017,baseline,[],v_docling_baseline_only
eni,2025,total_energy_consumption,84399860.0,MWh,2025,"table@page 170: Total energy consumption (b) | 84,399,860",170,0.9189040660858154,baseline,[],v_docling_baseline_only
eni,2025,water_consumption,42000000.0,m3,2025,table@page 184: Water consumption (a) | 42,184,0.3694811105728149,baseline,[],v_docling_baseline_only
iberdrola,2025,scope_1_emissions,5246890.0,tCO2e,2025,"table@page 48: Gross Scope 1 GHG emissions (tCO 2 eq) - Continuing activities | 5,246,890",48,0.2790818989276886,baseline,[],v_docling_baseline_only
iberdrola,2025,total_energy_consumption,101572520.0,MWh,2025,"table@page 46: Total energy consumption (MWh) (calculated as the sum of lines 6, 7 and 11) - Continuing activities | 101,572,520",46,0.9207287430763245,baseline,[],v_docling_baseline_only
iberdrola,2025,water_consumption,45642187.0,m3,2025,"table@page 58: Total water consumption - Continuing activities | 45,642,187",58,0.9277983903884888,baseline,[],v_docling_baseline_only
shell,2025,scope_1_emissions,62400000.0,tCO2e,2025,line@page 369: - [D] Figures are prepared in line with GHG Protocol Corporate Accounting and Reporting Standard and GHG emissions are reported net of CO 2 transfers. If CO 2 t,369,0.7933333333333333,baseline,[],v_docling_baseline_only
shell,2025,total_energy_consumption,269000000.0,MWh,2025,table@page 368: Total energy consumption [A] | 269,368,0.9426367878913879,baseline,[],v_docling_baseline_only
shell,2025,water_consumption,86000000.0,m3,2025,table@page 385: Water consumption [C] | 86,385,0.3745054483413696,baseline,[],v_docling_baseline_only
