company,report_year,kpi,value,unit,reporting_year,source_snippet,source_page,confidence,extractor,flags,run_tag
bp,2024,scope_1_emissions,,,,,,,baseline,[],v_docling_full
bp,2024,scope_1_emissions,33700000.0,tCO2e,2024.0,"Scope 1 (direct) greenhouse gas
emissions k l
MtCO2e
33.2
30.4
31.1
32.8
33.7",,1.0,llm,[],v_docling_full
bp,2024,total_energy_consumption,134448000.0,MWh,2024.0,"table@page 6: Energy consumption l z | 134,448",6.0,0.36854202747344966,baseline,[],v_docling_full
bp,2024,total_energy_consumption,134448000.0,MWh,2024.0,"Energy consumption t l                      | GWh                                                  | 128,805 | 121,697 | 124,770 | 129,872 | 134,448",,1.0,llm,[],v_docling_full
bp,2024,water_consumption,,,,,,,baseline,[],v_docling_full
bp,2024,water_consumption,82000000.0,m3,2024.0,Total freshwater withdrawal aw | millionm 3 | 97.9 | 92.4 | 84.1 | 81.8 | 82.0 |,,0.9,llm,[],v_docling_full
enel,2024,scope_1_emissions,,,,,,,baseline,[],v_docling_full
enel,2024,scope_1_emissions,18950000.0,tCO2e,2024.0,Total gross Scope 1 GHG emissions (1) MtCO 2eq 18.95 20.20 (1.25) -6.2%,,1.0,llm,[],v_docling_full
enel,2024,total_energy_consumption,249.89000000000001,MWh,2024.0,"table@page 197: Total | 249,890",197.0,0.18298802375793455,baseline,[],v_docling_full
enel,2024,total_energy_consumption,168590000.0,MWh,2024.0,"In 2025, energy consumption totaled 168.59 TWh, down 1.1% on 2024, of which:",,1.0,llm,[],v_docling_full
enel,2024,water_consumption,32141000.0,m3,2024.0,"line@page 286: | Total water consumption                                           | .000m 3 |     32,141 |     30,881 | 1,260     | 4.1%     |",286.0,1.3,baseline,['out_of_range'],v_docling_full
enel,2024,water_consumption,32141000.0,m3,2024.0,"Total water consumption
| .000m 3 | 32,141 | 30,881 | 1,260 | 4.1%",,1.0,llm,[],v_docling_full
eni,2024,scope_1_emissions,28400000.0,tCO2e,2024.0,line@page 166: | Direct GHG emissions (Scope 1)                                                    | (MtCO2eq.) | 28.4         | 26.2                      | 31.1         | 27.,166.0,0.9199999999999999,baseline,[],v_docling_full
eni,2024,scope_1_emissions,28400000.0,tCO2e,2024.0,Direct GHG emissions (Scope 1) | (MtCO 2 eq.) | 28.4 | 26.2 | 31.1 | 27.4 | -9%,,1.0,llm,[],v_docling_full
eni,2024,total_energy_consumption,84399860.0,MWh,2024.0,line@page 170: | Total energy consumption (b)                                                                                                                                  ,170.0,1.3,baseline,[],v_docling_full
eni,2024,total_energy_consumption,84399860.0,MWh,2024.0,"Total energy consumption (b) | (MWh) | 84,399,860 | 31,146,286 | 92,738,602 | 32,150,544",,1.0,llm,[],v_docling_full
eni,2024,water_consumption,40000000.0,m3,2024.0,"line@page 86: Currently, 45 water treatment plants are operational and managed in Italy, with approximately 40 million cubic meters of water treated in 2025, an increase comp",86.0,0.5333333333333333,baseline,[],v_docling_full
eni,2024,water_consumption,821000000.0,m3,2024.0,"Water withdrawals (c) |  | 821 | 109 | 1,162 | 90",,0.9,llm,[],v_docling_full
iberdrola,2024,scope_1_emissions,5246890.0,tCO2e,2024.0,"table@page 48: Gross Scope 1 GHG emissions (tCO 2 eq) - Continuing activities | 5,246,890",48.0,0.2790818989276886,baseline,[],v_docling_full
iberdrola,2024,scope_1_emissions,5179674.0,tCO2e,2024.0,"Gross Scope 1 GHG emissions (tCO2eq) - Continuing activities |       5,179,674 |       5,246,890 | 1.3             | N/AV.                         | N/AV.                         | N/AV.                         | N/AV.                         |",,0.9,llm,[],v_docling_full
iberdrola,2024,total_energy_consumption,101572520.0,MWh,2024.0,"table@page 46: Total energy consumption (MWh) (calculated as the sum of lines 6, 7 and 11) - Continuing activities | 101,572,520",46.0,0.9207287430763245,baseline,[],v_docling_full
iberdrola,2024,total_energy_consumption,104215259.0,MWh,2024.0,"Total energy consumption (MWh) (calculated as the sum of lines 6, 7 and 11) - Continuing activities| 101,572,520 | 104,215,259",,1.0,llm,[],v_docling_full
