company,report_year,kpi,value,unit,reporting_year,source_snippet,source_page,confidence,extractor,flags,run_tag
bp,2024,scope_1_emissions,33700000.0,tCO2e,2024.0,line@page 6: | Scope 1 (direct) emissions l                                                      | MtCO2e    | 33.2    | 30.4    | 31.1    | 32.8    | 33.7    |,6.0,0.9642857142857143,baseline,[],v_gemini_25flash_post_quota
bp,2024,scope_1_emissions,33700000.0,tCO2e,2024.0,"Scope 1 (direct) greenhouse gas
emissions k l                               | MtCO2e                                              | 33.2   | 30.4   | 31.1   | 32.8   | 33.7",,1.0,llm,[],v_gemini_25flash_post_quota
bp,2024,total_energy_consumption,134448000.0,MWh,2024.0,"table@page 6: Energy consumption l z | 134,448",6.0,0.3685420187479871,baseline,[],v_gemini_25flash_post_quota
bp,2024,total_energy_consumption,134448000.0,MWh,2024.0,"Energy consumption t l                      | GWh                                                  | 128,805 | 121,697 | 124,770 | 129,872 | 134,448 |",,1.0,llm,[],v_gemini_25flash_post_quota
bp,2024,water_consumption,47299999.99999999,m3,2024.0,line@page 9: | Freshwater consumption                                                   | millionm 3      | 53.6   | 51.7   | 47.4   | 46.5   | 47.3   |,9.0,1.1666666666666665,baseline,[],v_gemini_25flash_post_quota
bp,2024,water_consumption,47300000.0,m3,2024.0,Freshwater consumption                                                   | millionm 3      | 53.6   | 51.7   | 47.4   | 46.5   | 47.3   |,,0.9,llm,[],v_gemini_25flash_post_quota
enel,2024,scope_1_emissions,18950000.0,tCO2e,2024.0,line@page 147: Total gross Scope 1 GHG emissions(1) MtCO2eq 18.95 20.20 (1.25) -6.2%,147.0,1.0066666666666666,baseline,[],v_gemini_25flash_post_quota
enel,2024,scope_1_emissions,18950000.0,tCO2e,2024.0,"In 2025, Scope 1 GHG emissions came to 18.95 MtCO2eq",,0.9,llm,[],v_gemini_25flash_post_quota
enel,2024,total_energy_consumption,168590000.0,MWh,2024.0,line@page 150: Total energy consumption (primary and final) TWh 168.59 170.52 (1.93) -1.1%,150.0,1.04,baseline,['out_of_range'],v_gemini_25flash_post_quota
enel,2024,total_energy_consumption,168590000.0,MWh,2024.0,"In 2025, energy consumption totaled 168.59 TWh, down 1.1% on 2024",,0.9,llm,[],v_gemini_25flash_post_quota
enel,2024,water_consumption,32141000.0,m3,2024.0,"line@page 286: Total water consumption .000 m3 32,141 30,881 1,260 4.1%",286.0,1.28,baseline,['out_of_range'],v_gemini_25flash_post_quota
enel,2024,water_consumption,32141000.0,m3,2024.0,"Water consumption in 2025 amounted to 32,141 thousand m3, also slightly up from the previous year (4.1%,
30,881 thousand m3 in 2024), in line with the withdraw-",,0.9,llm,[],v_gemini_25flash_post_quota
eni,2024,scope_1_emissions,28400000.0,tCO2e,2024.0,line@page 166: Direct GHG emissions (Scope 1) (MtCO2eq.) 28.4 26.2 31.1 27.4 -9%,166.0,0.9199999999999999,baseline,['out_of_range'],v_gemini_25flash_post_quota
eni,2024,scope_1_emissions,28400000.0,tCO2e,2024.0,Direct GHG emissions (Scope 1) (MtCO2eq.) 28.4,,0.9,llm,[],v_gemini_25flash_post_quota
eni,2024,total_energy_consumption,84399860.0,MWh,2024.0,"line@page 170: Total energy consumption(b) (MWh) 84,399,860 31,146,286 92,738,602 32,150,544",170.0,1.3,baseline,[],v_gemini_25flash_post_quota
eni,2024,total_energy_consumption,84399860.0,MWh,2024.0,"Total energy consumption(b) (MWh) 84,399,860 31,146,286 92,738,602 32,150,544",,0.9,llm,[],v_gemini_25flash_post_quota
eni,2024,water_consumption,42000000.0,m3,2024.0,line@page 184: Water consumption(a) (Mm3) 42 12 45 9,184.0,0.8333333333333333,baseline,[],v_gemini_25flash_post_quota
eni,2024,water_consumption,54000000.0,m3,2024.0,"WATER CONSUMPTION Unit Operated not operated Operated not operated
Water consumption(a) (Mm3) 42 12 45 9",,0.9,llm,[],v_gemini_25flash_post_quota
iberdrola,2024,scope_1_emissions,,,,,,,baseline,[],v_gemini_25flash_post_quota
iberdrola,2024,scope_1_emissions,5246890.0,tCO2e,2024.0,"Gross Scope 1 GHG emissions (tCOeq) -
2
Continuing activities 5,179,674 5,246,890",,0.9,llm,[],v_gemini_25flash_post_quota
